?label	?exact	?broad	?narrow	?related	?subset	?uri
"bathroom"	"bathing room"			"washroom"		"http://purl.obolibrary.org/obo/ENVO_01000422"
"bathtub fixture"	"bathtub"			"bath"		"http://purl.obolibrary.org/obo/ENVO_01000991"
"bathtub fixture"	"bathtub"			"tub"		"http://purl.obolibrary.org/obo/ENVO_01000991"
"battery-powered electric lamp"						"http://purl.obolibrary.org/obo/ENVO_01000573"
"bay"				"bahia"		"http://purl.obolibrary.org/obo/ENVO_00000032"
"bay"				"embayment"		"http://purl.obolibrary.org/obo/ENVO_00000032"
"bay"				"firth"		"http://purl.obolibrary.org/obo/ENVO_00000032"
"bay"				"inlet"		"http://purl.obolibrary.org/obo/ENVO_00000032"
"bay"				"sea loch"		"http://purl.obolibrary.org/obo/ENVO_00000032"
"bay"				"sea lough"		"http://purl.obolibrary.org/obo/ENVO_00000032"
"bayou"		"lake"		"bahia"		"http://purl.obolibrary.org/obo/ENVO_00000234"
"bayou"		"lake"		"embayment"		"http://purl.obolibrary.org/obo/ENVO_00000234"
"bayou"		"lake"		"lake"		"http://purl.obolibrary.org/obo/ENVO_00000234"
"bayou"		"lake"		"slough"		"http://purl.obolibrary.org/obo/ENVO_00000234"
"bayou"		"watercourse"		"bahia"		"http://purl.obolibrary.org/obo/ENVO_00000234"
"bayou"		"watercourse"		"embayment"		"http://purl.obolibrary.org/obo/ENVO_00000234"
"bayou"		"watercourse"		"lake"		"http://purl.obolibrary.org/obo/ENVO_00000234"
"bayou"		"watercourse"		"slough"		"http://purl.obolibrary.org/obo/ENVO_00000234"
"beach"	"Beach"		"beach berm"	"beach"		"http://purl.obolibrary.org/obo/ENVO_00000091"
"beach"	"Beach"		"beach berm"	"beaches"		"http://purl.obolibrary.org/obo/ENVO_00000091"
"beach"	"Beach"		"beach berm"	"foreshore flats"		"http://purl.obolibrary.org/obo/ENVO_00000091"
"beach"	"Beach"		"beach berm"	"rivage"		"http://purl.obolibrary.org/obo/ENVO_00000091"
"beach"	"Beach"		"beach berm"	"strand"		"http://purl.obolibrary.org/obo/ENVO_00000091"
"beach"	"Beach"		"lagoon beach"	"beach"		"http://purl.obolibrary.org/obo/ENVO_00000091"
"beach"	"Beach"		"lagoon beach"	"beaches"		"http://purl.obolibrary.org/obo/ENVO_00000091"
"beach"	"Beach"		"lagoon beach"	"foreshore flats"		"http://purl.obolibrary.org/obo/ENVO_00000091"
"beach"	"Beach"		"lagoon beach"	"rivage"		"http://purl.obolibrary.org/obo/ENVO_00000091"
"beach"	"Beach"		"lagoon beach"	"strand"		"http://purl.obolibrary.org/obo/ENVO_00000091"
"beach ridge"	"beach ridge"					"http://purl.obolibrary.org/obo/ENVO_00000529"
"beach sand"						"http://purl.obolibrary.org/obo/ENVO_00002138"
"beaver dam"		"dam"				"http://purl.obolibrary.org/obo/ENVO_00000500"
"beaver pond"				"lake"		"http://purl.obolibrary.org/obo/ENVO_00000270"
"bed base"	"bed foundation"					"http://purl.obolibrary.org/obo/ENVO_01000592"
"bed frame"				"bedstead"		"http://purl.obolibrary.org/obo/ENVO_01000591"
"bedclothing"						"http://purl.obolibrary.org/obo/ENVO_02000002"
"bedding-plane cave"						"http://purl.obolibrary.org/obo/ENVO_00000001"
"bedrock"						"http://purl.obolibrary.org/obo/ENVO_01000751"
"bedrock dissolution"						"http://purl.obolibrary.org/obo/ENVO_02500029"
"beech forest soil"						"http://purl.obolibrary.org/obo/ENVO_00005770"
"bench"						"http://purl.obolibrary.org/obo/ENVO_01000589"
"benthic deep-sea mining"	"deep seafloor mining"					"http://purl.obolibrary.org/obo/ENVO_01001416"
